source,target
1417288,18795154
1417288,7836842
1417288,18297014
1417288,1578685
1417288,4126912
1417288,16062152
1417288,19680459
1417288,4705492
1417288,11077852
1417288,8771812
1417288,22808815
1417288,15297782
1417288,2496252
1417288,21715712
1417288,1358081
1417288,18562307
1417288,18456837
1417288,19728145
1417288,19416348
1417288,1274150
1417288,18425641
1417288,1169709
1417288,4063542
1417288,1354051
1417288,11626822
1417288,5282132
1417288,19266390
1417288,18506072
1417288,18529135
1417288,14396812
1417288,21837219
1417288,3376042
1417288,18314669
1417288,711599
1417288,23112117
1417288,18977219
1417288,1349592
1417288,1576921
1417288,1498076
1417288,18573279
1417288,204767
1417288,20348898
1417288,22197221
1417288,19654655
18604107,339011
18604107,18495240
18604107,1102353
18604107,19030621
18604107,929402
18604107,1473660
168014,1358081
168014,981249
168014,19728145
168014,19416348
168014,1728035
168014,1169709
168014,1451826
168014,1697586
168014,18955830
168014,1526075
168014,1078077
168014,1354051
168014,1457232
168014,13560402
168014,5282132
168014,18677333
168014,18506072
168014,20129636
168014,20440175
168014,24039540
168014,929402
168014,1473660
168014,18517376
168014,710272
168014,1187715
168014,16487812
168014,18821254
168014,541319
168014,1492619
168014,20182158
168014,1776274
168014,18494105
168014,17487002
168014,22374557
168014,22730657
168014,21837219
168014,18801828
168014,3376042
168014,20336043
168014,1324203
168014,15335602
168014,18297014
168014,4126912
168014,18180033
168014,227528
168014,1751502
168014,11077852
168014,8771812
168014,19198182
168014,526316
168014,1642477
168014,18361585
168014,18232817
168014,18243826
168014,6629622
168014,47094
18399311,6928642
18399311,20129636
18399311,20384452
18399311,20166757
18399311,1578685
18602064,6928642
18602064,18795154
18602064,19262745
18602064,15552112
18602064,18468466
18602064,24568502
18602064,18592827
23742545,19728145
23742545,191516
23742545,19934054
23742545,1324203
23742545,18361585
23742545,11776502
23742545,18297014
17770582,24906881
17770582,23398017
17770582,1358081
17770582,7138452
17770582,18494105
17770582,10016162
17770582,21837219
17770582,1728035
17770582,19277993
17770582,18314164
17770582,1360698
17770582,1078077
17770582,9376702
17770582,6707902
17770582,14546632
17770582,13560402
17770582,18616278
17770582,1498076
17770582,8771812
3047512,1187715
3047512,12847372
3047512,19728145
3047512,1102353
3047512,15770262
3047512,20421535
3047512,2556962
3047512,4063542
3047512,18955830
3047512,22585660
3047512,339011
3047512,227528
3047512,1431882
3047512,1457232
3047512,1371991
3047512,22197221
3047512,18266348
3047512,6190702
3047512,18602480
3047512,1505523
3047512,929402
2150491,18562307
2150491,217795
2150491,18714758
2150491,14649032
2150491,19713173
2150491,18425641
2150491,18297014
2150491,18955830
2150491,1526075
2150491,18549438
20947040,535553
20947040,19194894
20947040,1102353
20947040,1728035
20947040,18955830
20947040,11294262
20947040,20181560
20947040,16321082
20947040,16607822
20947040,13560402
20947040,16477792
20947040,1671273
20947040,6190702
20947040,15552112
20947040,7130232
20947040,929402
20947040,1776274
20947040,7138452
20947040,19713173
20947040,18494105
20947040,252576
20947040,26090658
20947040,19277993
20947040,7836842
20947040,25129130
20947040,6707902
20947040,4126912
20947040,10178242
20947040,19904711
20947040,14546632
20947040,16062152
20947040,11184352
20947040,8771812
20947040,18361585
20947040,15297782
20947040,18556157
20947040,1358081
20947040,1787157
20947040,16954142
20947040,18850080
20947040,22643488
20947040,25521445
20947040,1360698
20947040,20806988
20947040,23353167
20947040,5282132
20947040,22021463
20947040,5618532
20947040,11625832
20947040,3173762
20947040,1187715
20947040,16487812
20947040,14396812
20947040,19218850
20947040,21837219
20947040,23594916
20947040,3376042
20947040,20583850
20947040,17467312
20947040,18589616
20947040,405938
20947040,18314164
20947040,9376702
20947040,18180033
